@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R2,4-6,8-11,13-14,16-17,19-21,23-24-weka.filters.unsupervised.instance.Resample-S1-Z25.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2,6'

@attribute V3 numeric
@attribute V12 numeric
@attribute V15 numeric
@attribute V18 numeric
@attribute Class {1,2,3,4}

@data
1.832,1.71,1.999,0.456,4
5,1.511,1.289,0.45,4
1.483,5,5,0.812,1
2.15,5,0.831,0.875,2
2.635,1.288,0.823,0.834,2
2.934,1.707,1.631,1.406,3
1.408,3.924,0.897,0.886,2
2.437,0.83,5,0.834,2
1.585,5,1.388,0.566,1
5,1.661,1.689,0.467,4
1.471,1.568,1.474,0.489,4
2.902,2.12,0.8,1.169,2
2.085,1.537,1.113,0.71,2
1.398,0.786,1.082,0.619,2
3.209,1.764,0.803,0.475,2
5,1.439,1.447,0.485,4
2.48,0.995,0.755,0.555,2
1.268,0.91,1.162,0.583,1
5,1.688,1.726,0.454,4
5,2.656,3.771,0.695,1
1.824,1.73,0.59,0.487,2
2.152,3.968,1.606,1.107,1
2.33,1.713,0.777,0.497,2
1.417,5,0.892,0.875,2
2.086,1.425,1.332,5,3
2.28,1.765,0.577,0.507,2
2.615,3.855,0.784,0.871,2
4.77,0.839,1.08,0.557,2
2.59,3.886,0.852,0.855,2
2.068,2.812,0.949,0.763,4
2.611,1.71,0.817,0.833,2
1.416,0.877,1.087,0.482,2
2.166,1.637,1.251,2.287,3
1.595,5,5,0.739,1
1.553,5,1.429,0.548,1
2.67,2.008,3.731,1.477,4
1.409,2.165,5,0.65,1
2.863,1.777,5,1.431,3
1.335,2.263,4.896,0.684,1
2.455,1.239,0.593,0.964,2
1.736,1.773,5,0.542,1
3.824,1.129,1.025,0.727,1
2.643,2.034,1.839,5,1
1.41,0.858,1.1,0.508,2
2.519,1.008,3.475,0.779,1
2.633,0.911,0.827,1.019,2
5,1.935,2.106,0.541,1
1.484,5,5,0.811,4
1.749,1.133,1.128,0.669,1
2.379,4.88,1.585,0.783,1
1.53,1.344,1.325,0.569,1
5,1.646,1.775,0.468,4
1.415,0.888,1.132,0.5,2
2.722,1.283,5,0.745,1
1.833,1.734,1.874,0.483,4
1.818,1.821,1.209,0.611,1
1.557,5,5,0.749,1
5,1.393,0.771,0.768,2
0.813,1.374,1.37,0.542,4
5,1.344,3.553,0.779,1
5,1.671,1.703,0.457,4
2.519,1.009,3.476,0.779,1
2.813,1.58,0.776,0.78,2
1.436,0.851,0.892,0.483,2
2.046,1.033,2.457,5,1
2.507,2.617,5,0.768,4
3.254,1.715,0.755,0.465,2
1.623,0.824,1.058,0.978,2
2.332,0.975,5,5,1
5,1.7,2.027,0.485,4
1.951,1.489,0.808,0.499,2
1.436,0.829,5,0.436,2
1.319,1.656,0.954,0.528,1
2.235,1.633,1.557,1.413,3
1.444,3.927,0.844,1.015,2
2.016,1.641,1.411,2.729,1
1.232,1.566,0.879,1.088,2
5,1.651,1.677,0.482,4
5,1.675,0.776,0.76,2
2.884,0.831,0.792,0.818,2
1.832,1.71,2.283,0.456,4
1.553,2.196,3.438,0.578,1
1.593,5,5,0.699,1
1.315,0.864,1.131,0.597,2
5,1.447,1.065,0.822,1
2.25,1.688,1.085,1.198,3
5,1.386,0.87,0.75,2
2.31,1.431,5,0.834,1
1.449,0.855,1.046,0.443,2
5,1.499,1.497,0.516,1
2.055,2.65,5,0.573,1
3.681,1.351,3.586,0.748,1
5,1.731,5,0.796,1
1.371,1.064,0.902,0.486,2
1.412,0.891,1.121,0.49,2
1.693,2.471,5,0.589,1
1.362,2.207,5,0.722,1
2.718,1.486,0.799,0.824,2
1.654,1.379,5,0.648,1
2.298,1.193,1.168,1.762,3
1.276,1.611,5,0.737,1
3.151,1.84,2,0.49,4
2.879,0.838,0.799,0.941,2
3.657,1.347,1.604,0.736,1
2.179,0.797,5,0.891,2
2.173,5,1.59,0.926,1
5,1.144,5,0.673,1
1.431,0.835,5,0.43,2
5,1.743,1.803,0.485,4
2.262,1.221,5,0.697,1
2.629,3.865,0.78,0.867,2
2.664,1.234,1.558,0.796,1
1.349,0.821,1.067,0.551,2
1.566,5,5,0.811,1
1.354,2.208,5,0.697,1
1.895,2.519,3.65,0.647,1
2.596,4.625,0.816,0.791,2
5,1.737,2.322,0.484,4
1.955,2.977,0.919,0.747,1
1.412,2.161,1.44,0.644,1
3.101,1.898,2.058,0.503,1
2.021,1.587,1.155,0.703,1
4.178,0.81,0.864,0.529,2
5,1.665,1.78,0.423,4
1.803,0.824,0.964,0.849,2
1.418,0.87,1.092,0.487,2
1.558,0.881,1.109,1.043,2
2.329,1.381,1.031,0.829,1
1.439,0.823,5,0.447,2
3.047,1.986,5,0.534,1
2.252,0.922,0.832,0.94,2
1.226,1.775,0.887,0.728,2
4.049,0.931,0.803,0.601,2
2.338,2.484,5,0.497,1
2.374,5,1.138,1.211,1
2.52,1.007,3.478,0.779,1
1.435,1.573,1.092,0.487,4
2.268,3.903,1.137,0.9,1
5,1.412,1.417,0.496,4
1.611,1.928,5,0.58,1
5,1.726,1.784,0.472,4
5,1.67,1.596,1.388,3
1.922,2.693,5,0.551,1
1.367,0.918,0.897,0.494,2
1.506,2.161,0.891,0.663,2
2.162,2.963,0.944,0.754,4
1.974,1.533,1.471,0.493,4
1.373,2.216,4.87,0.668,1
2.886,2.117,0.806,0.867,2
1.374,5,0.878,1.068,2
1.734,5,5,0.589,1
1.605,0.856,0.88,0.48,2
2.32,1.204,5,0.633,1
2.755,1.789,0.774,0.816,2
1.37,5,0.838,1.027,2
1.801,0.827,0.965,0.854,2
2.284,1.47,5,0.758,1
1.7,2.466,5,0.589,1
2.682,1.954,5,5,1
2.019,1.606,1.411,2.725,1
2.411,1.814,0.775,0.355,2
1.998,2.826,5,0.767,4
1.654,1.78,5,0.589,1
2.617,3.854,0.79,0.891,2
1.582,0.824,1.001,5,2
5,0.822,1.089,0.572,2
5,1.697,0.761,0.49,2
1.433,1.565,1.646,0.488,4
1.865,1.668,0.772,0.488,2
5,2.622,3.716,0.683,1
2.023,2.683,5,0.622,1
5,1.31,5,0.784,1
2.616,3.854,0.782,0.869,2
1.31,5,0.795,1.012,2
0.952,1.322,1.184,0.569,1
1.859,1.682,5,0.495,1
1.391,5,0.836,0.435,2
1.885,1.852,2.008,1.381,3
1.456,1.409,1.394,0.546,1
1.942,1.528,0.821,0.49,2
5,0.846,0.829,0.76,2
2.408,1.813,0.785,0.372,2
1.702,2.869,5,0.607,1
1.44,0.862,5,0.502,2
2.615,1.114,5,1.359,1
2.21,1.071,2.468,0.938,3
1.447,1.551,1.479,0.486,4
3.027,2.003,5,0.539,1
5,1.238,0.606,0.979,2
2.418,2.994,5,0.756,4
5.028,1.511,1.143,0.478,4
1.719,5,1.253,0.569,1
2.382,4.873,1.583,0.783,1
2.046,1.8,0.77,0.81,2
1.398,5,5,0.864,1
1.565,2.092,1.306,0.524,1
3.944,1.159,5,0.678,1
1.455,1.543,1.468,0.491,4
1.51,1.329,1.323,0.572,1
5,2.032,2.095,0.559,1
1.487,1.509,1.436,0.503,4
2.138,2.074,1.263,2.197,3
2.478,1.028,1.545,0.765,1
1.407,1.417,1.405,0.499,4
1.657,1.374,1.626,0.676,1
2.199,1.873,1.24,2.431,3
2.379,3.964,5,0.776,1
5,0.803,0.777,0.717,2
1.945,1.669,1.205,0.671,1
1.926,1.59,0.848,0.465,2
2.054,1.922,1.458,5,1
1.426,3.919,0.828,1.026,2
1.545,5,5,0.738,1
1.678,1.324,5,0.668,1
1.936,1.551,0.836,0.484,2
1.412,0.849,5,0.518,2
2.417,1.076,5,0.58,1
1.823,1.662,0.943,0.498,1
2.619,3.854,0.792,0.895,2
2.617,3.854,0.79,0.889,2
3.677,1.335,1.591,0.733,1
4.086,0.9,1.133,0.566,2
2.389,5,0.549,0.738,2
2.506,0.909,0.836,0.999,2
4.034,1.001,0.873,0.642,2
5,1.673,0.902,0.768,1
1.528,1.306,1.288,0.53,1
1.764,1.655,5,0.543,1
3.624,1.386,5,0.738,1
2.074,1.038,1.029,1.007,1
1.42,5,0.83,1.037,2
5,1.738,3.171,0.485,4
5,1.559,0.873,0.768,2
1.831,1.724,1.752,0.497,4
1.285,1.573,1.58,0.51,1
1.757,1.736,0.823,0.524,2
2.966,2.08,5,0.565,1
1.382,0.908,0.918,0.483,2
2.466,1.033,5,0.561,1
2.429,0.824,0.96,0.884,2
2.488,1.029,0.569,0.769,2
2.988,0.895,0.817,0.523,2
5,0.814,1.113,0.622,2
1.712,2.726,5,0.71,4
1.628,2.105,2.622,5,4
1.412,1.577,0.855,0.489,2
2.105,0.89,1.126,0.494,2
2.466,0.794,5,0.935,2
2.614,3.855,0.78,0.868,2
0.809,1.546,0.78,0.748,2
3.659,1.348,1.603,0.738,1
2.982,2.068,5,0.558,1
2.532,1.005,3.475,0.778,1
1.592,0.867,1.099,2.575,2
1.316,0.834,0.816,0.575,2
1.381,2.183,5,0.711,1
2.512,2.141,1.893,3.156,4
4.759,0.791,1.063,0.583,2
5,1.739,1.773,0.42,4
1.478,1.519,1.447,0.497,4
1.917,1.73,1.136,0.632,1
1.42,5,0.805,0.941,2
1.908,1.587,0.851,0.471,2
2.135,1.643,1.629,1.411,3
2.414,1.101,5,0.556,1
5,1.572,0.848,0.476,2
1.749,1.25,5,0.648,1
2.886,1.802,0.779,1.172,2
5,1.695,1.737,0.454,4
1.528,1.48,1.414,0.5,4
1.4,1.574,0.851,0.477,2
4.924,0.808,1.076,0.58,2
1.14,1.248,0.993,1.248,1
1.734,1.136,1.123,1.381,1
1.664,1.527,1.463,0.494,4
1.832,1.709,1.995,0.456,4
1.311,0.874,1.18,0.654,2
1.619,2.147,5,5,4
5,1.632,1.662,0.484,4
2.207,1.421,1.012,0.798,1
2.418,2.825,5,0.768,4
4.949,0.914,0.948,0.567,2
2.406,2.831,0.804,0.85,2
1.56,1.576,1.289,0.581,1
1.028,1.377,1.593,0.673,1
2.313,3.858,1.086,0.899,1
3.219,1.751,0.802,0.496,2
1.834,1.911,1.972,1.447,3
2.718,1.277,1.558,0.753,1
1.557,2.08,1.304,0.527,1
2.641,0.849,0.783,0.895,2
1.649,5,1.179,0.573,1
2.42,2.815,0.796,0.871,2
5,2.591,3.712,0.668,4
1.509,2.553,5,0.548,1
2.447,0.888,5,0.838,2
5,1.456,1.563,0.49,4
2.756,1.913,5,5,1
5,1.805,0.828,0.374,2
2.629,0.873,0.773,0.851,2
5,1.494,1.489,0.499,4
4.14,0.786,1.07,0.588,2
0.532,1.63,1.744,0.474,4
2.503,1.021,0.548,0.776,2
1.667,5,5,0.653,1
2.067,1.554,1.133,0.712,2
1.376,2.189,0.913,0.714,1
1.83,1.727,1.865,0.469,4
2.435,2.963,0.937,0.755,4
1.405,2.31,3.505,0.604,1
5,1.557,1.581,0.485,4
2.148,3.974,1.612,1.109,1
3.627,1.684,1.745,0.492,4
5,1.941,1.209,2.299,1
5,2.483,3.626,0.642,1
1.43,0.867,1.138,0.495,2
2.058,1.554,0.775,0.789,2
2.672,1.285,3.534,0.789,1
1.48,2.317,5,0.496,1
1.484,1.353,1.352,0.525,1
1.659,2.188,5,4.608,1
2.648,1.995,5,5,1
1.529,5,5,5,4
3.88,1.071,5,0.713,1
2.002,2.52,3.654,0.552,1
1.931,1.833,1.892,1.431,3
1.832,2.579,5,0.672,1
2.002,2.736,5,0.744,4
2.302,1.172,5,0.647,1
5,1.603,0.88,0.776,2
2.401,5,4.162,0.779,1
1.416,0.871,0.586,0.486,2
1.568,0.824,1.06,1.027,2
1.402,0.896,0.872,0.507,2
2.029,1.667,1.636,1.411,3
3.741,1.294,1.572,0.759,1
1.252,2.479,5,0.765,1
1.539,2.258,5,0.484,4
2.488,1.283,1.249,0.556,1
5,1.529,1.56,0.488,4
1.729,1.8,1.806,0.535,1
1.38,2.196,5,0.67,1
1.542,5,5,0.754,1
1.431,0.861,0.868,0.482,2
2.114,2.608,5,0.568,1
1.462,1.553,1.476,0.487,4
1.798,1.754,1.89,0.489,4
1.468,1.562,1.472,0.493,4
1.595,2.174,5,5,4
2.038,2.668,5,0.578,1
1.428,0.867,1.128,0.495,2
2.48,4.773,0.941,0.89,1
2.22,1.275,1.272,2.351,1
1.336,1.734,0.792,0.804,2
2.01,1.635,1.426,1.437,1
2.706,5,0.793,0.832,2
1.991,2.738,5,0.583,1
1.344,2.395,3.576,0.624,1
1.985,1.752,1.809,1.415,3
1.66,1.053,5,0.939,3
3.978,1.043,0.899,0.641,2
2.425,0.823,0.958,0.845,2
2.024,1.732,5,1.393,3
1.763,2.978,5,0.649,1
2.619,1.227,0.805,0.859,2
1.708,2.819,5,0.599,1
2.431,4.824,1.549,0.766,1
2.339,1.199,5,0.587,1
1.859,5,1.301,0.711,1
1.555,1.623,1.191,0.467,4
2.249,1.698,1.126,1.186,3
1.774,2.72,5,0.565,1
2.634,3.83,0.77,0.908,2
3.185,2.114,0.8,1.168,2
1.936,2.814,0.935,0.747,4
1.408,1.595,2.793,0.476,4
2.632,1.298,0.807,0.837,2
2.26,1.232,5,2.368,1
2.658,1.592,0.769,0.82,2
5,1.924,2.076,0.521,1
2.715,0.876,0.777,0.833,2
2.564,2.665,5,0.697,1
1.573,1.962,5,0.625,1
2.281,5,5,0.537,1
1.68,1.498,1.437,0.497,4
2.271,1.67,1.076,2.532,3
1.762,1.877,1.226,0.588,1
2.323,1.395,1.041,0.843,1
3.226,5,0.769,0.837,2
5,2.158,1.154,0.585,1
2.441,1.068,2.068,0.58,1
1.429,2.145,4.843,0.643,1
1.432,0.865,5,0.5,2
2.614,1.622,0.821,0.916,2
1.69,1.18,1.162,0.623,1
5,0.826,0.803,0.791,2
2.618,2.49,5,0.714,1
2.301,1.161,1.151,2.346,1
2.312,1.729,0.79,0.5,2
1.681,2.896,5,0.634,1
2.356,5,0.596,0.789,2
2.149,1.469,5,0.709,1
1.326,1.555,0.832,0.69,2
1.455,3.96,0.832,0.992,2
1.843,0.83,0.958,0.835,2
2.703,0.816,0.79,0.857,2
1.436,1.542,0.834,0.494,2
1.904,1.71,1.231,0.659,1
2.43,0.827,0.875,0.836,2
1.418,1.621,0.861,0.482,2
1.623,0.82,1.055,0.97,2
1.932,2.677,5,0.558,1
2.178,1.028,5,1.19,3
5,0.826,0.802,0.708,2
1.726,1.32,1.555,0.651,1
1.684,1.319,5,0.696,1
1.95,1.555,0.831,0.488,2
1.568,1.558,1.104,0.48,4
2.343,1.699,0.765,0.494,2
2.757,1.928,2.452,1.387,3
4.762,0.834,1.079,0.567,2
1.853,1.642,0.729,0.508,2
3.658,1.344,5,0.735,1
2.227,1.568,1.201,5,3
1.463,0.825,5,0.453,2
1.366,2.338,5,0.715,1
2.557,0.961,0.951,0.775,1
2.315,1.138,1.136,2.342,1
1.367,0.818,1.116,0.632,2
1.399,2.298,5,0.7,1
5,1.456,5,0.751,1
1.698,1.929,1.284,0.59,1
1.47,0.837,1.083,0.494,2
5,1.738,2.325,0.484,4
2.541,2.199,5,5,1
1.658,2.956,5,0.652,1
1.581,5,5,0.715,1
4.754,0.806,1.116,0.617,2
5,1.726,0.745,0.432,2
1.366,2.212,5,0.672,1
1.648,2.119,5,5,4
2.225,1.6,1.183,5,3
1.557,5,5,0.72,1
3.248,1.745,0.5,0.442,2
5,1.064,5,0.712,1
1.559,2.087,1.423,0.537,1
2.485,2.752,5,0.742,1
1.588,1.438,1.706,0.702,1
4.13,0.827,0.888,0.572,2
5,1.577,1.348,0.435,4
1.617,2.218,5,0.479,4
1.3,5,0.814,1.047,2
2.669,1.556,1.049,1.306,1
1.445,2.129,1.412,0.643,1
2.735,0.862,0.766,0.8,2
4.763,0.833,0.864,0.572,2
2.038,1.47,5,0.78,1
1.418,0.905,0.946,0.488,2
5,2.634,5,0.687,1
4.128,0.804,1.086,0.594,2
5,1.707,0.749,0.461,2
5,1.739,2.326,0.484,4
1.747,1.751,0.586,0.529,2
5,1.736,1.875,0.483,4
1.612,5,5,0.7,1
2.546,1.421,1.437,0.495,4
5,1.139,5,0.741,1
2.11,1.796,1.307,1.348,1
5,1.735,1.764,0.42,4
5,1.557,1.355,0.495,4
1.909,1.855,1.914,1.492,3
1.414,0.889,5,0.499,2
2.617,3.858,0.776,0.854,2
5,1.467,0.805,0.823,2
1.507,1.499,1.427,0.553,4
5,1.754,1.813,0.491,4
1.731,1.763,5,0.534,1
1.571,1.628,1.198,0.466,4
1.441,2.271,3.481,0.595,1
1.377,2.199,5,0.672,1
1.343,5,0.779,1.047,2
1.71,1.158,1.142,0.633,1
1.968,5,1.672,0.868,1
1.615,5,5,0.675,1
1.775,1.974,2.04,1.448,1
2.171,0.804,0.805,0.919,2
1.496,2.038,2.079,0.632,1
5,1.312,0.667,0.847,2
1.265,2.462,4.903,0.758,1
2.616,1.213,0.807,0.908,2
1.32,5,0.79,1.122,2
2.018,1.61,1.412,2.726,1
2.527,1.007,3.473,0.779,1
1.312,1.547,1.545,0.521,1
1.747,1.274,5,0.644,1
3.689,1.34,5,0.742,1
2.419,2.989,5,0.755,4
1.414,0.903,1.106,0.482,2
1.732,1.266,5,0.65,1
1.474,1.574,5,0.761,1
2.636,1.373,0.826,0.841,2
5,1.218,0.589,0.969,2
0.732,5,5,0.765,1
5,0.886,0.873,0.987,2
1.421,5,0.804,0.943,2
5,1.613,1.746,0.456,4
1.764,1.713,1.009,0.536,1
5,1.759,5,0.772,1
1.7,5,1.399,0.634,1
1.81,1.68,0.967,0.513,1
1.408,0.865,0.89,0.501,2
1.152,2.588,3.707,0.666,4
1.43,0.866,1.128,0.496,2
1.554,2.012,1.282,0.599,1
2.097,2.128,1.308,2.155,3
5,1.737,2.035,0.484,4
1.835,1.73,1.866,0.483,4
3.151,1.809,0.576,0.515,2
5,0.893,0.874,0.733,2
2.652,0.819,0.791,0.91,2
1.567,1.634,1.202,0.466,4
2.399,1.104,5,0.599,1
5,1.36,1.023,0.829,1
2.654,0.814,0.796,0.913,2
1.511,5,5,0.746,1
1.304,0.864,0.825,0.719,2
5,1.588,1.307,0.575,1
2.067,1.73,1.658,1.422,3
1.767,2.464,5,0.557,1
1.863,1.022,1.014,0.685,1
2.254,1.565,1.633,1.442,3
1.671,1.381,5,0.644,1
2.559,0.87,1.979,0.519,2
1.636,5,5,0.686,1
2.03,1.593,1.103,0.688,1
2.151,2.005,1.261,5,3
1.582,1.554,1.103,0.48,4
2.993,2.034,2.1,0.561,1
2.13,2.601,5,0.538,1
1.997,1.105,5,2.346,1
1.552,1.634,1.196,0.458,4
1.508,2.286,1.768,0.426,4
5,1.949,3.283,0.526,1
5,1.566,1.363,0.493,4
