Saving all output to "/usr/hdp/2.6.3.0-235/phoenix/bin/../../../../../home/user03/USER03Q1.csv". Enter "record" with no arguments to stop it.
'NAME','CITY','STATE','STARS'
'Impressions Dental','Chandler','AZ','3.5'
'Real Properties Management Group','las vegas','NV','2.5'
'Primanti Bros.','Pittsburgh','PA','3.5'
'Silver State Carpet Cleaning','Las Vegas','NV','1.0'
'Galaxie Electronics','Pittsburgh','PA','5.0'
'Guess','Toronto','ON','4.0'
'Nacho Mobile Auto Repair','Las Vegas','NV','4.5'
'Banana Peppers','Jefferson Hills','PA','3.5'
'Cool Cat Auto Repair','Phoenix','AZ','5.0'
'Sun Prairie Suzuki Violin Lessons','Sun Prairie','WI','5.0'
'Tonyc Salon & Spa','Etobicoke','ON','4.5'
'Lantana','Las Vegas','NV','1.5'
'18 Degrees Neighborhood Grill','Scottsdale','AZ','3.0'
'Coleman Tyler','Gilbert','AZ','2.5'
'GoodLife Vapes','Toronto','ON','5.0'
'PT's','Henderson','NV','3.5'
'Subway','Rantoul','IL','2.0'
'Morrell Park Apts','Henderson','NV','4.0'
'China House','Bay Village','OH','3.5'
'La Cabosse d'Or','Otterburn Park','QC','4.0'
'Wong's Jr','Peoria','AZ','3.5'
'Quality Chiropractic Injury & Rehab','Las Vegas','NV','5.0'
'The Coffee Bean & Tea Leaf','Las Vegas','NV','3.0'
'941 Saloon','Pittsburgh','PA','3.0'
'Mulberry Bar','Toronto','ON','4.5'
'Fred Perry Authentic Shop','Toronto','ON','4.5'
'Pizza Hut','North York','ON','2.0'
'Mercer's Restaurant','Peoria','AZ','4.0'
'Flaming Kitchen','Markham','ON','3.0'
'Ramen Ya Katana','Las Vegas','NV','3.5'
'Travel Leaders','North Olmsted','OH','4.5'
'Sandwich Box','Toronto','ON','3.5'
'Tyler M. Christensen DDS','Henderson','NV','4.5'
'PastaTivo','Beachwood','OH','3.0'
'Sport Clips Haircuts of Chandler','Chandler','AZ','5.0'
'Ego Hair Design','Inverness','HLD','3.5'
'Fair Oaks Nursery and Garden Center','Madison','WI','3.0'
'Enterprise Rent-A-Car','Champaign','IL','3.0'
'Pizza Nova','Richmond Hill','ON','2.5'
'Academic Accolades','Mesa','AZ','5.0'
'Leisure Lawn','Las Vegas','NV','5.0'
'Dave's Music Mine','Pittsburgh','PA','3.5'
'Wesley Bolin Memorial Plaza','Phoenix','AZ','4.5'
'TRU Burger Company','Peoria','AZ','4.0'
'Ana's Nail Boutique & Spa','Toronto','ON','4.0'
'Toronto Public Library','Toronto','ON','2.5'
'The Fry','North York','ON','3.5'
'Las Vegas Super Spartan Race','Las Vegas','NV','4.0'
'Al-Salam Market & Deli','Charlotte','NC','2.5'
'Catskill Auto Service','Henderson','NV','5.0'
'The Independent','Toronto','ON','4.5'
'Halibut House Fish & Chips','Aurora','ON','3.0'
'Domino's Pizza','Tempe','AZ','2.0'
'Harmony Hospice','Las Vegas','NV','5.0'
'Tim Hortons','Markham','ON','2.0'
'Immaculate Mobile Wash & Detail','Gilbert','AZ','4.5'
'Bachelor Vegas','Las Vegas','NV','5.0'
'La Maison Palette','Lakewood','OH','4.5'
'Game Seven Grill','Phoenix','AZ','2.0'
'McDonalds','Las Vegas','NV','1.5'
'Best Western Inn','Elyria','OH','3.5'
'Happy Sushi','Toronto','ON','3.5'
'Wen H. Wang DDS','Gilbert','AZ','5.0'
'Nevada Title And Payday Loans','Las Vegas','NV','1.0'
'Kidz Cuts By Lori','Henderson','NV','5.0'
'Chennai Fusion Grill','Chandler','AZ','3.5'
'Tea2go','Phoenix','AZ','4.5'
'Fabrique de Cacao 70','MontrΓ©al','QC','3.5'
'Express Pizza & Grill','Toronto','ON','3.0'
'J & B Carpets','Phoenix','AZ','4.0'
'Beauty Nails','Toronto','ON','3.0'
'MX Locksmith','Las Vegas','NV','5.0'
'Sandcastle Water Park','Homestead','PA','3.0'
'Opus Glow Concept Spa','Whitby','ON','2.5'
'Auto Action','Glendale','AZ','2.5'
'Optical Effects Vision Center','Las Vegas','NV','4.5'
'Philthy Philly's','Newmarket','ON','4.0'
'White Wings Pet-Sitting','Charlotte','NC','5.0'
'Cancun Resort Las Vegas by Diamond Resorts','Las Vegas','NV','3.0'
'Fiesta Filipina Cuisine','Henderson','NV','3.5'
'Eagle Crest Golf Course','Las Vegas','NV','3.5'
'Avon Oaks Country Club','Avon','OH','4.0'
'AZ International Marketplace','Mesa','AZ','3.5'
'Paradise Valley Florist','Scottsdale','AZ','4.5'
'Dubliner','Phoenix','AZ','3.5'
'CafΓ© Allegro','Phoenix','AZ','3.5'
'Rent-a-Son','Toronto','ON','4.0'
'Pretty Little Secrets Lash & Brow Bar','Toronto','ON','5.0'
'URBAN JUNGLE FUN PARK Mesa','Mesa','AZ','4.0'
'Subway','Cuyahoga Falls','OH','3.5'
'Le Spot St-Denis','MontrΓ©al','QC','3.5'
'Bath and Body Works','Las Vegas','NV','3.5'
'Papa John's Pizza','Tempe','AZ','2.5'
'Desert Dog Hummer Adventures','Fountain Hills','AZ','4.0'
'BCT Flooring and Showers','Tempe','AZ','1.0'
'Rena Sposa Brautmode Stuttgart','Stuttgart','BW','5.0'
'Journey Massage Therapy','Scottsdale','AZ','5.0'
'UR Lube','Toronto','ON','3.5'
'RΓ΄tisserie Benny & Co','Sainte-Julie','QC','3.5'
'XPOSE Beauty Bar & Spray Tanning','Scottsdale','AZ','5.0'
'Smile! Dental Center','Gibsonia','PA','4.5'
'NFB Mediatheque','Toronto','ON','4.5'
'S-Bahnhof Stuttgart-Vaihingen','Stuttgart-Vaihingen','BW','2.0'
'Dry Pro Foundation and Crawlspace Specialists','Charlotte','NC','4.5'
'Wendy's','Stow','OH','2.5'
'The Garden Grille & Bar','Charlotte','NC','3.5'
'Bruce Trent Park','Las Vegas','NV','4.0'
'Improv Vegas','Las Vegas','NV','5.0'
'Futuretel Service Centre','Markham','ON','3.5'
'Mark's','Toronto','ON','3.0'
'U-Haul Neighborhood Dealer','Las Vegas','NV','4.0'
'Bank of Arizona','Phoenix','AZ','3.5'
'Mister Vapor','Toronto','ON','5.0'
'Navigate','Toronto','ON','4.5'
'Ulta Beauty','Pittsburgh','PA','3.5'
'Pizza Joe's & Deli','Cleveland','OH','4.0'
'Beaumont Tire & Auto Repair','Champaign','IL','4.5'
'Maids of Honor','Phoenix','AZ','4.5'
'Matt's Big Breakfast','Phoenix','AZ','3.5'
'Sacred Hour Wellness Spa','Lakewood','OH','5.0'
'Rio Mirage Cafe Y Cantina','El Mirage','AZ','4.0'
'Travelodge Phoenix Downtown','Phoenix','AZ','2.0'
'The Body Lab','Phoenix','AZ','4.0'
'Performance Rehab Associates','Charlotte','NC','5.0'
'Maid 2 B Cleaned','Gilbert','AZ','4.5'
'Shoppers Drug Mart','Toronto','ON','1.5'
'Ted Wiens Tire & Auto','Las Vegas','NV','3.5'
'Dirty Dog Cigar Shoppe','McKeesport','PA','5.0'
'Jimmy Johns','Macedonia','OH','2.0'
'Desert Hope Treatment Center','Las Vegas','NV','3.0'
'Rite Aid','Pittsburgh','PA','2.5'
'Ino's Fashions','Fairlawn','OH','1.0'
'Bavette's Steakhouse & Bar','Las Vegas','NV','4.5'
'BiodΓ΄me de MontrΓ©al','MontrΓ©al','QC','3.5'
'Bridal Fashion Debut','Phoenix','AZ','4.0'
'Cat's Cradle','Toronto','ON','4.5'
'Zonie Cuts','Phoenix','AZ','5.0'
'Pinnacle Fitness','Scottsdale','AZ','5.0'
'La Tapatia Market','Las Vegas','NV','5.0'
'Subway','Verona','WI','3.5'
'Night Market Cleveland','Cleveland','OH','4.0'
'Cricket Wireless Authorized Retailer','North Las Vegas','NV','2.5'
'St James Dennis R Physical Therapy','Phoenix','AZ','5.0'
'Takumi','MontrΓ©al','QC','3.5'
'Jose' and Tony's Mexican Restaurant','Pittsburgh','PA','2.5'
'Coffee Cup Family Restaurant','Bedford','OH','3.5'
'Romados','MontrΓ©al','QC','4.0'
'Cluny Bistro & Boulangerie','Toronto','ON','3.5'
'Foothills Sports Medicine Physical Therapy','Phoenix','AZ','3.5'
'Falbo Bros. Pizzeria','Sun Prairie','WI','3.5'
'Wok Terminal','Etobicoke','ON','3.0'
'Smog Busters','Las Vegas','NV','4.0'
'Culinary Pharmacy','Las Vegas','NV','5.0'
'Stecchino','MontrΓ©al','QC','3.0'
'Mike Olbinski Photography','Phoenix','AZ','5.0'
'Restaurant Madagascar','Stuttgart','BW','4.0'
'Steep & Brew West','Madison','WI','3.5'
'Payless Car Rental','Dorval','QC','1.0'
'Politic','Chester','CHE','2.5'
'Takashi','St-Leonard','QC','5.0'
'Freeman's Car Stereo','Charlotte','NC','3.5'
'Wladislaw Fedoriw MD - Arizona Back Pain Institute','Chandler','AZ','3.5'
'Sorrento Villas','Las Vegas','NV','2.5'
'Beach Bunny Swimwear','Scottsdale','AZ','4.0'
'Horizon Safety Training','Tempe','AZ','5.0'
'El-Tipico Ecuatoriano','North York','ON','3.0'
'Nail Secrets','Hampton Township','PA','4.0'
'Don Tequila','Amherst','OH','3.5'
'Eric Andrew Collection At Town Square','Las Vegas','NV','5.0'
'Belleville Ale House','Belleville','WI','3.5'
'Honn-Auto Repair','Mesa','AZ','4.0'
'Eat-Sum-More','Thornhill','ON','3.5'
'Davis Glass and Mirror','Las Vegas','NV','4.0'
'Jennuine Cakes & Cafe','Murrysville','PA','5.0'
'L'Oeufrier NDG','MontrΓ©al','QC','4.0'
'Sekushi Japanese Restaurant','Las Vegas','NV','4.0'
'Rashers','Toronto','ON','3.5'
'Miss Donna's School Of Dancing','Charlotte','NC','3.5'
'U.S. Bank','Scottsdale','AZ','4.0'
'Ken Mitchell NMD RPh','Scottsdale','AZ','5.0'
'Showtime Tours','Las Vegas','NV','1.5'
'Crossroads of the West Gun Show','Phoenix','AZ','1.5'
'Alliance Urgent Care','Goodyear','AZ','2.5'
'Jersey Mike's Subs','Phoenix','AZ','3.5'
'Scottsdale Air Heating & Cooling','Tempe','AZ','4.5'
'Tacos Huicho','Phoenix','AZ','4.5'
'The UPS Store','Phoenix','AZ','3.5'
'Pussycat Club','Ludwigsburg','BW','4.0'
'Adore Organic Innovation','Las Vegas','NV','1.5'
'Js Pest Control','Las Vegas','NV','3.5'
'Action Golf Cart Rentals and Sales','Mesa','AZ','5.0'
'Jacksons Car Wash','Phoenix','AZ','2.0'
'Deli 194','Edinburgh','EDH','3.0'
'Conrad'sΒ Tire Express & Total CarΒ Care','Brook Park','OH','3.5'
'Verizon','Mesa','AZ','2.5'
'Anderson Preparatory Academy','Phoenix','AZ','4.5'
'South Cove Apartments','Las Vegas','NV','3.0'
'3 Guys Optical','Pittsburgh','PA','3.5'
'Taco Bell','Phoenix','AZ','3.0'
'Lawngevity Landscape & Maintenance','Belmont','NC','3.5'
'StΓ¤dtisches Lapidarium','Stuttgart','BW','4.5'
'Sunrise Caribbean Restaurant','Brampton','ON','3.0'
'Pho King','Markham','ON','2.5'
'Rossetti Management & Realty Services','Phoenix','AZ','1.0'
'Boulangerie Arouch','Laval','QC','3.5'
'Gel-Q Nail & Spa','Scottsdale','AZ','3.5'
'Centra Food Market','Aurora','ON','3.0'
'Mirage Grill & Lounge','Scarborough','ON','3.0'
'Just Fresh','Charlotte','NC','3.5'
'Tienda Los Gemelos','Madison','WI','4.5'
'New Wrap Order','Charlotte','NC','4.5'
'Local Pet','Pittsburgh','PA','5.0'
'Precision Air & Heating','Chandler','AZ','2.5'
'Cos Bar Scottsdale','Scottsdale','AZ','3.0'
'Fool','Edinburgh','EDH','4.5'
'Fancy Nails','Kent','OH','3.5'
'AT&T','Charlotte','NC','3.0'
'Smoke Bourbon Bar-B-Q House','Toronto','ON','3.5'
'Presotea','Toronto','ON','3.5'
'SAQ','MontrΓ©al','QC','3.5'
'Alamo Rent A Car','Mesa','AZ','4.0'
'Tim Horton's','Toronto','ON','3.0'
'August Moon Chinese Restaurant','Woodbridge','ON','1.0'
'Manpasand Spice Corner','Pittsburgh','PA','4.0'
'Men's Ultimate Grooming','Gilbert','AZ','4.0'
'Summerhill Spa','Toronto','ON','3.5'
'Amazing Las Vegas Comic Con','Las Vegas','NV','4.0'
'StorQuest Self Storage','Glendale','AZ','3.5'
'KFC','Richmond Hill','ON','2.0'
'Desi Dera','MontrΓ©al','QC','2.5'
'China Restaurant','Gastonia','NC','3.0'
'Skinny's Bar and Grill','Euclid','OH','4.5'
'Subway','Glendale','AZ','3.0'
'Posh Supper Club','Toronto','ON','3.0'
'Cloud Nine Wellness Spa','Scottsdale','AZ','2.0'
'Your Way Auto Sale','Phoenix','AZ','3.0'
'Dunkin' Donuts','Champlain','NY','1.0'
'Style and Grace Barbershop','Monroeville','PA','5.0'
'Johnny Rockets','West Mifflin','PA','2.0'
'Crown Town Subs','Charlotte','NC','4.0'
'Now and Zen Massage Therapy','Las Vegas','NV','5.0'
'Vanity Nail','Elyria','OH','4.0'
'Kay's Place','Mesa','AZ','3.5'
'Lindsey Gillies','Edinburgh','EDH','2.5'
'NutWhats','Chandler','AZ','4.5'
'Cedarvale Ravine','Toronto','ON','4.5'
'AL's Donuts','Las Vegas','NV','2.5'
'Maaco Collision Repair & Auto Painting','El Mirage','AZ','4.5'
'Klondike','Sainte-Anne-de-Bellevue','QC','2.0'
'The Residence at SouthPark','Charlotte','NC','4.0'
'Az Family Dentistry','Chandler','AZ','5.0'
'Royal Biryani & Kabob','Charlotte','NC','3.5'
'I'm Board! Games & Family Fun','Middleton','WI','5.0'
'Lucky Little Chapel','Las Vegas','NV','5.0'
'Superstition Mountain Golf & Country Club','Superstition Mountain','AZ','4.0'
'The First Vegas Burn!-The Flames of Change','Las Vegas','NV','4.5'
'Fineserve Blind Repair','Mesa','AZ','3.5'
'Rogue Toys','Las Vegas','NV','4.5'
'Atlas Cinemas','Mentor','OH','3.5'
'Rosati's Pizza','Mesa','AZ','3.5'
'DeLex Realty','Peoria','AZ','1.5'
'Delta Home Services','Phoenix','AZ','2.5'
'The Dog Hut','McFarland','WI','5.0'
'China Buffet','Champlain','NY','2.5'
'Indochino Custom Menswear','Toronto','ON','3.0'
'Caffe Nero','Edinburgh','EDH','4.5'
'My Biz Niche','Phoenix','AZ','5.0'
'Toronto Public Library - Palmerston Branch','Toronto','ON','4.0'
'Holiday Inn Express & Suites Charlotte NE - University Area','Charlotte','NC','4.0'
'Choice Movers','Phoenix','AZ','5.0'
'Impressions Tile & Marble','Las Vegas','NV','5.0'
'The Treatment Room','Phoenix','AZ','5.0'
'UYVU Nails & Spa','Toronto','ON','5.0'
'The Wine Room','Avon','OH','4.5'
'The Nite Owl Barber Shop','Toronto','ON','4.5'
'Le Centre Sportif du Parc Olympique','MontrΓ©al','QC','5.0'
'Tasteco Supermarket','Toronto','ON','3.0'
'Smart HVAC Repair','Phoenix','AZ','5.0'
'Metro Bar & Brasserie','Edinburgh','EDH','3.0'
'Barnardo's','Edinburgh','EDH','3.5'
'Neubert Painting','Brook Park','OH','2.0'
'Donauschwaben's German-American Cultural Center','Olmsted Falls','OH','4.5'
'Angels Carpet Care','Las Vegas','NV','5.0'
'The Shoe Company','Concord','ON','3.0'
'Michael Mina','Las Vegas','NV','4.0'
'Restaurant Bohemia','Brossard','QC','4.5'
'Nova Era Bakery & Pastry','Ajax','ON','4.0'
'Charlie Murdoch's','Pittsburgh','PA','4.0'
'Arizona Pools and Landscape','Phoenix','AZ','3.5'
'Gutierrez Window Tinting','Phoenix','AZ','5.0'
'Tlc Wash N Clean','Gilbert','AZ','4.5'
'China King Chinese Restaurant','Brunswick','OH','3.0'
'Vegas Uncork'd: The Grand Tasting','Las Vegas','NV','4.0'
'SuperPawn','Mesa','AZ','2.5'
'Cracker Barrel Old Country Store','Sheffield Village','OH','3.5'
'Pinnacle Chiropractic','Phoenix','AZ','5.0'
'Willie Stouts','North York','ON','3.5'
'Fresh Start Liquidators','Avondale','AZ','4.5'
'GK's Vapor Pub','Avondale','AZ','5.0'
'Tune & Lube repair center','Las Vegas','NV','5.0'
'Kostial Robert J DDS','Phoenix','AZ','3.5'
'Riverbound Sports Stand Up Paddleboards','Tempe','AZ','5.0'
'Kingsway Theatre','Toronto','ON','2.5'
'Maya New York Pizza Bar','Mesa','AZ','3.0'
'Jeremy Mueller - State Farm Insurance Agent','Scottsdale','AZ','5.0'
'Waste Management','North Huntingdon','PA','2.0'
'Romy S','Stuttgart','BW','4.0'
'Diamond Landscaping','Pittsburgh','PA','2.5'
'Pro-Tech Transmission and Complete Auto Repair','Las Vegas','NV','4.5'
'Carolina Ale House','Charlotte','NC','3.0'
'Xpand Realty & Property Management','Las Vegas','NV','5.0'
'Flowerama Las Vegas','Las Vegas','NV','2.5'
'The House Brasserie','Scottsdale','AZ','4.0'
'East Valley Dental Care','Mesa','AZ','4.5'
'SpringHill Suites Scottsdale North','Scottsdale','AZ','3.5'
'Marcy','Toronto','ON','3.5'
'Carquest Auto Parts','Las Vegas','NV','4.5'
'Makai Pacific Island Grill','Las Vegas','NV','4.5'
'Cordonnerie Jiji','MontrΓ©al','QC','2.5'
'Apotheca Compounding Pharmacy','Toronto','ON','5.0'
'Paper Crane','King City','ON','4.5'
'Planet Fitness - Brampton - Centennial Mall','Brampton','ON','3.0'
'Pet Club - Gilbert','Gilbert','AZ','4.5'
'Assure Home Inspection','Chandler','AZ','3.5'
'Nails Up Spa - Highland Creek','Huntersville','NC','2.5'
'Veteran's Memorial Cemetery','Boulder City','NV','4.0'
'Lobos Landscaping','Mesa','AZ','5.0'
'Cody Randazzo-HealthMarkets','Scottsdale','AZ','4.5'
'Kind Family Dentistry','Scottsdale','AZ','3.5'
'Herbal Beauty Esthetics','Toronto','ON','2.0'
'Caffe Furbo','Toronto','ON','4.0'
'Toys and Playtime Oasis','Scottsdale','AZ','4.0'
'Jimmy John's','Tempe','AZ','2.5'
'Golf Anything Outlet','Scottsdale','AZ','3.0'
'Vietnam House Art Gallery','Edinburgh','EDH','5.0'
'Sporting Life','Etobicoke','ON','2.5'
'ASU Surplus Property','Tempe','AZ','3.5'
'All Valley Impound','Phoenix','AZ','1.0'
'La Mie Matinale','MontrΓ©al','QC','4.5'
'$59 Rooter & Plumbing Service','Phoenix','AZ','5.0'
'Holiday Inn Express Whitby Oshawa','Whitby','ON','1.5'
'Edible Arrangements','Surprise','AZ','1.0'
'The Foot Of The Walk','Edinburgh','EDH','3.0'
'Walgreens','Parma','OH','3.0'
'BBQ Express','Toronto','ON','4.5'
'Umana Health','Etobicoke','ON','5.0'
'Subway','Gilbert','AZ','3.0'
'Automatic  Garage Door Company','Streetsboro','OH','5.0'
'Arizona Goldendoodles','Peoria','AZ','5.0'
'Arizona Automotive Repair','Phoenix','AZ','5.0'
'Granada Lakes Apartments','Tempe','AZ','2.5'
'Subway','Mesa','AZ','4.0'
'H&M','Pickering','ON','2.5'
'Spelman Stephen W DDS FAGD','Las Vegas','NV','5.0'
'Allegheny Branch YMCA','Pittsburgh','PA','4.0'
'Taste Tea','Las Vegas','NV','4.5'
'Glendale Barber Shop','Glendale','AZ','5.0'
'CrossFit Twinsburg','Twinsburg','OH','5.0'
'Peachtree Mall','Markham','ON','3.0'
'Perfumiya','Tempe','AZ','4.5'
'First Class Limousine Service','Homestead','PA','4.0'
'Massis Auto Repair Service Inc','Las Vegas','NV','4.5'
'Barber Shop Styles','Pittsburgh','PA','5.0'
'Viva PHX: A Downtown Music Festival','Phoenix','AZ','4.5'
'Firehouse Subs Mineral Point','Madison','WI','4.0'
'H&M','Pittsburgh','PA','3.0'
'Royal 10 Cigar and Tobacco','North Royalton','OH','4.0'
'IGA  Alimentation Shnaidman & Pagano','Cote Saint-Luc','QC','3.0'
'NOA Nail Spa','Concord','NC','3.0'
'Vacworks','Newmarket','ON','3.5'
'PremiΓ¨re Moisson','Vaudreuil-Dorion','QC','4.0'
'Law Office Of Cory Hilton','Las Vegas','NV','1.0'
'NYX Ecigs','Toronto','ON','4.0'
'Taste Cafe','Charlotte','NC','3.0'
'Mark Andrew Hair Studio','Toronto','ON','5.0'
'Freeport Forwarding','Champlain','NY','4.5'
'Econo Lodge Inn & Suites Airport','Charlotte','NC','2.5'
'Cars 2 Go','Glendale','AZ','1.0'
'Ed's Tavern','Charlotte','NC','3.5'
'Sierra Health and Life','Las Vegas','NV','1.5'
'Tatum Ranch Barbershop','Cave Creek','AZ','4.5'
'Bike Authority','Broadview Heights','OH','3.5'
'Po' Boys Restaurant','Urbana','IL','4.0'
'Covenant Child Care Center','Phoenix','AZ','4.0'
'New Fashion Shop','Toronto','ON','3.5'
'Nail Bar Spa Ballantyne','Charlotte','NC','2.5'
'Madison No Fear Dentistry','Madison','WI','4.0'
'V's Schnitzel House','Toronto','ON','3.5'
'Torontoism - Sotheby's International Realty Canada','Toronto','ON','5.0'
'Same Day Service Carpet Care','Phoenix','AZ','4.0'
'Beauty By April Russell','Glendale','AZ','5.0'
'Comprehensive Cancer Centers of Nevada Central Valley','Las Vegas','NV','3.5'
'Berrybrook Farm Natural Foods','Charlotte','NC','4.0'
'AZ Smoke Shop','Tempe','AZ','3.5'
'Lowe's','Rocky River','OH','3.5'
'Sky High Smoke Shop','Tempe','AZ','4.0'
'LensCrafters','Henderson','NV','3.0'
'Carl's Jr.','Glendale','AZ','2.5'
'Sam's Club Optical','Las Vegas','NV','2.0'
'A-1 National Fire Company','Las Vegas','NV','5.0'
'Tire Works Total Car Care','Henderson','NV','2.5'
'Sunset Marine Mobile Boat Repair Service','Peoria','AZ','5.0'
'ZM Cycle & Fitness','York','ON','3.5'
'Uncle Fish & Chips','Edinburgh','EDH','2.5'
'Western Towing','Glendale','AZ','2.0'
'Verdetto's Bar & Restaurant','Pittsburgh','PA','4.5'
'Gogh Paint','Glendale','AZ','5.0'
'Fry's Food & Drug Stores & Fry's Marketplace','Glendale','AZ','4.0'
'Fitness Connection','Charlotte','NC','3.5'
'Leonidas','Toronto','ON','4.0'
'Bastone Hardware','Toronto','ON','4.5'
'Scottsdale Town Car & SUV Transportation','Scottsdale','AZ','3.5'
'London Pub Company','Richmond Hill','ON','2.5'
'IHOP','Phoenix','AZ','2.5'
'Shafa Medical Clinic','Phoenix','AZ','1.5'
'European Car Specialist','Phoenix','AZ','4.5'
'Accord Realty','Madison','WI','3.5'
'Taco Mich & Bar','Glendale','AZ','3.5'
'Village by the Grange','Toronto','ON','3.5'
'Starbucks','Las Vegas','NV','3.5'
'Best Beauty Salon','Las Vegas','NV','3.5'
'Crazy Mocha','Pittsburgh','PA','4.0'
'Trudy's Taxes and Bookkeeping','Surprise','AZ','5.0'
'Little Sito','Toronto','ON','4.0'
'The Fox and Firkin','Toronto','ON','3.0'
'Razno Renovation','Toronto','ON','3.5'
'Yuu Beauty & Well Being','Edinburgh','MLN','3.5'
'America Donuts','Las Vegas','NV','4.0'
'Spudnut Shop Donuts','Mentor','OH','4.0'
'ShrimpFever','Scarborough','ON','5.0'
'Shade USA','Gilbert','AZ','2.5'
'Evolution Body Transformation','Madison','WI','3.5'
'Bank of America','Phoenix','AZ','2.0'
'Breezewood Gardens & Gifts','Chagrin Falls','OH','3.5'
'Sun Shade Window Tinting','Las Vegas','NV','4.0'
'Motel 6','Urbana','IL','1.5'
'Toyota of Surprise','Surprise','AZ','4.0'
'Daial Cycle & Sports','Etobicoke','ON','5.0'
'Odd Finds General Store','Toronto','ON','5.0'
'Mesa Auction','Mesa','AZ','3.0'
'Davisville Medical Clinic','Toronto','ON','1.0'
'Davenport Garden Centre','Toronto','ON','4.0'
