Saving all output to "/usr/hdp/2.6.3.0-235/phoenix/bin/../../../../../home/user03/USER03Q7.csv". Enter "record" with no arguments to stop it.
'BASE".NAM','BASE".NEIGHBORHOO','BASE".ADDRES','BASE".CIT','BASE".STAT','BASE".POSTALCOD','BASE".LATITUD','BASE".LONGITUD','BASE".STAR','BASE".REVIEWCOUN','BASE".ISOPE','BASE".CATEGORIE','CHEKIN_SUM'
'Secret Pizza','The Strip','The Cosmopolitan Of Las Vegas 3708 Las Vegas Blvd S','Las Vegas','NV','89109','361.123.722.261','-115.173.063.938','4.0','3741','1','Pizza','4038'
'Paris Las Vegas Hotel & Casino','The Strip','3655 Las Vegas Blvd S','Las Vegas','NV','89109','361.123.576','-1.151.702.213','3.0','2140','1','Hotels','3916'
'Red Rock Casino Resort & Spa','South Summerlin','11011 W Charleston Blvd','Las Vegas','NV','89135','361.564.126.328','-115.332.846.897','3.5','1424','1','Hotels & Travel','3814'
'Fashion Show','The Strip','3200 Las Vegas Blvd S Ste 600','Las Vegas','NV','89109','361.268.121.273','-115.174.767.695','4.0','671','1','Shopping','3.48E+3'
'Pho Kim Long','Chinatown','4029 Spring Mountain Rd','Las Vegas','NV','89102','361.261.943.318','-115.193.445.287','3.5','2594','1','Vietnamese','3445'
'The Mirage','The Strip','3400 Las Vegas Blvd S','Las Vegas','NV','89109','361.212.805.516','-115.175.219.041','3.5','1987','1','Resorts','3404'
'New York New York Hotel & Casino','The Strip','3790 Las Vegas Blvd S','Las Vegas','NV','89109','361.011.178.301','-115.173.585.824','3.5','1831','1','Hotels','3.37E+3'
'Las Vegas North Premium Outlets','Downtown','875 S Grand Central Pkwy','Las Vegas','NV','89106','361.636.507.649','-11.515.774.922','4.0','882','1','Shopping Centers','3.35E+3'
'Luxor Hotel and Casino Las Vegas','The Strip','3900 Las Vegas Blvd S','Las Vegas','NV','89109','360.954.628','-1.151.758.039','2.5','3621','1','Event Planning & Services','3307'
'Egg & I','Westside','4533 W Sahara Ave Ste 5','Las Vegas','NV','89102','361.440.458','-1.152.024.651','4.5','2595','1','Restaurants','3294'
'Encore','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.276.844.749','-115.167.446.136','4.0','1726','1','Resorts','3285'
'South Point Hotel Casino & Spa','Southeast','9777 S Las Vegas Blvd','Las Vegas','NV','89183','360.113.572.399','-115.175.775.205','3.5','1392','1','Hotels & Travel','3.28E+3'
'Serendipity 3','The Strip','Caesars Palace Las Vegas Hotel And Casino 3570 Las Vegas Boulevard South','Las Vegas','NV','89109','361.156.697.204','-11.517.331.658','3.0','3910','0','Social Clubs','3277'
'Scottsdale Fashion Square','','7014 E Camelback Rd','Scottsdale','AZ','85251','3.350.275','-111.929.341','4.0','451','1','Outlet Stores','3265'
'Shake Shack','The Strip','3790 Las Vegas Blvd S','Las Vegas','NV','89109','361.030.612.595','-115.173.450.261','4.0','2549','1','Burgers','3237'
'Holsteins Shakes and Buns','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.842','-115.174.603','4.0','2771','1','American (Traditional)','3166'
'Rio All Suites Hotel & Casino','','3700 W Flamingo Rd','Las Vegas','NV','89103','361.172.377.683','-11.518.761.799','2.5','2080','1','Casinos','3051'
'XS Nightclub','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.280.503.306','-115.164.868.534','4.0','2884','1','Nightlife','3.04E+3'
'The Lodge','','4422 N 75th St','Scottsdale','AZ','85251','335.008.947','-1.119.203.705','3.5','213','0','Nightlife','3028'
'Hash House A Go Go','The Strip','3535 Las Vegas Blvd','Las Vegas','NV','89109','361.181.806.906','-115.171.579.781','4.0','4774','1','American (New)','2.96E+3'
'Gordon Ramsay BurGR','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','36.110.724','-115.172.169','4.0','5447','0','American (Traditional)','2927'
'Gangnam Asian BBQ Dining','Eastside','4480 Paradise Rd','Las Vegas','NV','89169','36.108.898','-115.151.261','4.5','3262','1','Asian Fusion','2904'
'Bachi Burger','Southeast','470 E Windmill Ln Ste 100','Las Vegas','NV','89123','360.427.979.056','-115.153.225.035','4.0','3065','1','American (New)','2872'
'Treasure Island','The Strip','3300 S Las Vegas Blvd','Las Vegas','NV','89109','361.245.859','-1.151.716.132','3.0','2237','1','Arts & Entertainment','2769'
'Four Peaks Brewing','','1340 E 8th St Ste 104','Tempe','AZ','85281','33.419.568','-111.916.097','4.5','1965','1','American (New)','2693'
'Grand Lux Cafe','The Strip','3355 Las Vegas Blvd S','Las Vegas','NV','89109','36.121.822','-115.168.855','4.0','2490','1','Desserts','2583'
'Monte Carlo Hotel And Casino','The Strip','3770 Las Vegas Blvd S','Las Vegas','NV','89109','36.104.614','-115.176.021','2.5','2507','1','Resorts','2569'
'The Forum Shops at Caesars','The Strip','3500 Las Vegas Blvd S','Las Vegas','NV','89109','361.190.010.006','-115.176.125.679','4.0','606','1','Arts & Entertainment','2462'
'Monta Ramen','Chinatown','5030 Spring Mountain Rd Ste 6','Las Vegas','NV','89146','361.270.336','-1.152.096.821','4.0','2291','1','Restaurants','2456'
'Chase Field','','401 E Jefferson St','Phoenix','AZ','85004','334.453.626','-1.120.674.961','4.0','556','1','Stadiums & Arenas','2455'
'Bouchon at the Venezia Tower','The Strip','3355 Las Vegas Blvd S Venezia Tower 10th floor','Las Vegas','NV','89109','361.209.554.593','-115.169.853.249','4.0','3570','1','Breakfast & Brunch','2422'
'Vdara Hotel','The Strip','2600 W Harmon Ave','Las Vegas','NV','89158','36.109.300.818','-115.178.147.449','4.0','2315','1','Beauty & Spas','2399'
'Las Vegas Athletic Club','Spring Valley','9615 W Flamingo Rd','Las Vegas','NV','89147','361.122.865.423','-11.530.134.201','3.0','368','1','Pilates','2.39E+3'
'Excalibur Hotel','The Strip','Excalibur Hotel And Casino 3850 Las Vegas Blvd S','Las Vegas','NV','89109','360.987.324.905','-115.174.725.631','2.5','2504','1','Hotels','2375'
'OHSO Brewery- Arcadia','','4900 E Indian School Rd','Phoenix','AZ','85018','33.495.018','-111.975.898','4.0','1038','1','American (Traditional)','2315'
'Flamingo Las Vegas Hotel & Casino','The Strip','3555 Las Vegas Blvd S','Las Vegas','NV','89109','361.156.902','-1.151.713.943','2.5','2938','1','Arts & Entertainment','2311'
'Fremont Street Experience','Downtown','425 Fremont St','Las Vegas','NV','89101','36.169.182','-115.141.881','3.5','1311','1','Local Flavor','2293'
'Tempe Marketplace','','2000 E Rio Salado Pkwy','Tempe','AZ','85281','334.329.144','-1.119.054.505','3.5','220','1','Diners','2261'
'Bally's Las Vegas Hotel & Casino','The Strip','3645 Las Vegas Blvd S','Las Vegas','NV','89109','361.143.212','-1.151.708.662','3.0','1662','1','Hotels & Travel','2231'
'Toronto Pearson International Airport','','3111 Convair Drive','Mississauga','ON','L5P 1B2','43.681.032.401','-796.124.267.578','3.0','741','1','Hotels & Travel','2219'
'M Resort Spa Casino','','12300 Las Vegas Blvd S','Henderson','NV','89044','359.652.244.803','-115.169.666.373','4.0','962','1','Day Spas','2211'
'Palms Casino Resort','','4321 W Flamingo Rd','Las Vegas','NV','89103','361.144.832','-1.151.948.136','3.0','1206','1','Arts & Entertainment','2193'
'Sushi House Goyemon','','5255 S Decatur Blvd Ste118','Las Vegas','NV','89118','360.950.586.541','-115.208.877.933','3.5','1674','1','Sushi Bars','2192'
'D'Lite Healthy On The Go','','2613 N Scottsdale Rd','Scottsdale','AZ','85257','33.477.178','-111.925.799','4.5','767','1','Breakfast & Brunch','2085'
'Lux Central','','4400 N Central Ave','Phoenix','AZ','85012','335.005.972.575','-11.207.423.717','4.5','1770','1','Breakfast & Brunch','2056'
'RnR Gastropub','','3737 N Scottsdale Rd','Scottsdale','AZ','85251','334.916.179','-1.119.258.402','3.5','740','1','Bars','2.02E+3'
'The Peppermill Restaurant & Fireside Lounge','The Strip','2985 Las Vegas Blvd S','Las Vegas','NV','89109','361.336.673.317','-115.163.094.755','4.0','2703','1','Bars','1963'
'The Orleans Hotel & Casino','','4500 West Tropicana Ave','Las Vegas','NV','89103','361.026.234.187','-115.201.935.358','3.5','893','1','Casinos','1963'
'Studio B Buffet','','12300 S Las Vegas Blvd','Henderson','NV','89044','359.658.025.616','-115.169.019.763','4.0','2030','1','Desserts','1954'
'Tacos El Gordo','The Strip','3049 S Las Vegas Blvd','Las Vegas','NV','89109','361.315.942.123','-115.164.766.838','4.0','2448','1','Mexican','1929'
'Wasted Grain','','7295 E Stetson Dr','Scottsdale','AZ','85251','334.992.759.128','-111.924.319.542','3.5','149','1','Bars','1928'
'Brew Tea Bar','Southwest','7380 S Rainbow Blvd Ste 101','Las Vegas','NV','89139','360.541.948','-1.152.424.431','5.0','1165','1','Cafes','1908'
'Golden Nugget','Downtown','129 E Fremont St','Las Vegas','NV','89101','361.697.807','-1.151.455.339','3.0','1710','1','Hotels','1.87E+3'
'Southwest Airlines','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.838.389','-115.148.385','3.0','584','1','Transportation','1868'
'Oyster Bar','','2411 W Sahara Ave','Las Vegas','NV','89102','361.427.819','-1.151.747.468','4.5','2125','1','Restaurants','1853'
'Hash House A Go Go','Westside','6800 W Sahara Ave','Las Vegas','NV','89146','36.144.667','-115.239.955','4.0','3050','1','Restaurants','1851'
'Jamms Restaurant','Westside','1029 S Rainbow Blvd','Las Vegas','NV','89145','36.159.706','-115.245.078','4.5','873','1','American (New)','1.82E+3'
'The Buffet','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.268.872.232','-115.165.590.048','3.5','4018','1','Buffets','1817'
'West Side Market','Ohio City','1979 W 25th St','Cleveland','OH','44113','414.846.863','-817.030.619','4.5','758','1','Farmers Market','1811'
'Nacho Daddy','The Strip','3663 Las Vegas Blvd Ste 595','Las Vegas','NV','89109','361.080.857.621','-115.171.110.893','4.0','910','1','Tex-Mex','1783'
'Las Vegas Athletic Club','Southeast','9065 S Eastern Ave','Las Vegas','NV','89123','360.253.318','-115.120.852','3.0','316','1','Active Life','1757'
'Harrah's Las Vegas Hotel & Casino','The Strip','3475 S Las Vegas Blvd','Las Vegas','NV','89109','361.193.098','-1.151.717.702','2.5','1413','1','Arts & Entertainment','1751'
'Talking Stick Resort','','9800 E Talking Stick Way','Scottsdale','AZ','85256','335.408.026.635','-111.872.356.788','3.0','683','1','Hotels & Travel','1745'
'Encore Beach Club','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.294.170.718','-115.166.116.868','4.0','700','0','Swimming Pools','1718'
'El Dorado Cantina','','3025 Sammy Davis Jr Dr','Las Vegas','NV','89109','361.349.154.274','-115.175.822.005','4.0','1694','1','Lounges','1713'
'Phoenix Public Market Cafe','','14 E Pierce St','Phoenix','AZ','85004','334.558.428.373','-11.207.352.551','4.0','849','1','Restaurants','1696'
'Green Valley Ranch Resort & Spa','Anthem','2300 Paseo Verde Pkwy','Henderson','NV','89052','36.020.552','-115.089.984','3.5','756','1','Resorts','1685'
'Angels Trumpet Ale House','','810 N 2nd St','Phoenix','AZ','85004','334.570.541.765','-112.071.567.245','4.0','935','1','Bars','1676'
'Rollin Smoke Barbeque','','3185 S Highland Dr Ste 2','Las Vegas','NV','89109','361.321.875','-1.151.770.963','4.5','2320','1','Restaurants','1667'
'Costco','Summerlin','801 S Pavilion Center Dr','Las Vegas','NV','89144','36.163.656','-115.332.953','4.0','260','1','Shopping','1651'
'BabyStacks Cafe','Spring Valley','4135 S Buffalo Dr Ste 101','Las Vegas','NV','89147','361.136.354.358','-115.261.437.935','4.0','1169','1','American (Traditional)','1.65E+3'
'Las Vegas South Premium Outlets','Southeast','7400 Las Vegas Blvd S','Las Vegas','NV','89123','360.539.333.477','-115.168.928.254','3.5','393','1','Shopping','1649'
'Surrender Nightclub','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.292.433.677','-115.165.643.672','3.5','829','0','Nightlife','1647'
'Windsor','','5223 N Central Ave','Phoenix','AZ','85012','33.513.575','-112.073.381','4.0','977','1','American (New)','1646'
'Cleveland Hopkins International Airport - CLE','Riverside','5300 Riverside Dr','Cleveland','OH','44135','414.106.123','-81.838.659','3.0','473','1','Hotels & Travel','1645'
'California Hotel & Casino','Downtown','12 East Ogden Ave','Las Vegas','NV','89101','36.173.216','-115.144.837','3.5','383','1','Hotels','1633'
'SanTan Brewing Company','','8 S San Marcos Pl','Chandler','AZ','85225','333.032.341.003','-111.842.529.297','4.0','1100','1','Wine Bars','1629'
'Pizza Rock','Downtown','201 N 3rd St','Las Vegas','NV','89101','361.716.181.087','-115.142.267.074','4.0','1738','1','Pizza','1619'
'The Buffet at Bellagio','The Strip','3600 S Las Vegas Blvd','Las Vegas','NV','89109','3.611.322','-11.517.689','3.5','3838','1','Buffets','1619'
'Miracle Mile Shops','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.098.635.984','-11.516.993.406','3.5','446','1','Shopping Centers','1606'
100 rows selected (135.203 seconds)
